,ChannelID,subs,nvideos,views,Category,Language,Type
Y0000,Y0000,25979,33,25011,news,English,NGO
Y0001,Y0001,72016,82,69990,gaming,English,NGO
Y0002,Y0002,1,16,0,music,English,Individual
Y0003,Y0003,110656,71,119443,news,Chinese,Individual
Y0004,Y0004,118882,50,168311,travel,Japanese,NGO
Y0005,Y0005,79538,91,51809,food,English,Goverment
Y0006,Y0006,161962,4,53203,music,Chinese,Goverment
Y0007,Y0007,75547,5,87991,news,English,Individual
Y0008,Y0008,84662,43,107146,food,Chinese,Individual
Y0009,Y0009,83862,5,48828,gaming,English,Individual
Y0010,Y0010,56015,55,29244,gaming,English,Individual
Y0011,Y0011,170717,39,77830,news,Chinese,Corperate
Y0012,Y0012,159324,42,80439,news,Franch,Individual
Y0013,Y0013,174453,49,244007,travel,English,Individual
Y0014,Y0014,64041,59,33805,news,English,NGO
Y0015,Y0015,179710,56,90522,food,Spanish,Individual
Y0016,Y0016,102913,10,147421,travel,Russia,Corperate
Y0017,Y0017,126849,38,52129,music,Russia,Corperate
Y0018,Y0018,108318,17,52803,travel,Chinese,Goverment
Y0019,Y0019,196427,85,140043,music,English,Individual
Y0020,Y0020,82073,72,4605,music,English,Individual
Y0021,Y0021,65925,17,94870,travel,English,Individual
Y0022,Y0022,77412,57,23794,travel,Chinese,Individual
Y0023,Y0023,91107,32,2626,gaming,Spanish,Individual
Y0024,Y0024,27494,74,39630,travel,English,Goverment
Y0025,Y0025,149649,60,58831,food,English,Corperate
Y0026,Y0026,112457,28,15396,travel,English,Individual
Y0027,Y0027,27517,78,40379,gaming,English,NGO
Y0028,Y0028,149143,65,114163,news,English,Individual
Y0029,Y0029,94479,92,65915,music,Spanish,NGO
Y0030,Y0030,60738,30,66288,news,English,Individual
Y0031,Y0031,107075,36,26845,food,English,Corperate
Y0032,Y0032,101492,27,39503,food,English,Individual
Y0033,Y0033,137053,6,178850,travel,English,Goverment
Y0034,Y0034,70363,91,103585,food,Japanese,NGO
Y0035,Y0035,183019,31,178791,music,English,NGO
Y0036,Y0036,108936,21,147408,gaming,Russia,Individual
Y0037,Y0037,60814,88,36844,music,English,Individual
Y0038,Y0038,135937,34,94128,news,Chinese,Goverment
Y0039,Y0039,79806,32,33028,news,Japanese,Goverment
Y0040,Y0040,73642,86,94216,travel,English,Individual
Y0041,Y0041,7266,28,7285,news,English,Individual
Y0042,Y0042,80666,2,31799,food,English,Goverment
Y0043,Y0043,164953,82,96161,news,English,NGO
Y0044,Y0044,68707,28,26203,news,Spanish,Individual
Y0045,Y0045,112043,49,119758,news,Russia,NGO
Y0046,Y0046,5663,95,3611,music,Japanese,Individual
Y0047,Y0047,146990,1,46285,music,English,NGO
Y0048,Y0048,68994,81,65912,news,English,Goverment
Y0049,Y0049,114059,31,31946,gaming,English,NGO
Y0050,Y0050,73859,86,106706,food,English,Individual
Y0051,Y0051,163098,39,222955,travel,Franch,Individual
Y0052,Y0052,59433,40,79508,gaming,Franch,Individual
Y0053,Y0053,141634,63,41454,music,English,Goverment
Y0054,Y0054,111505,46,3440,travel,Spanish,NGO
Y0055,Y0055,184040,75,276217,food,Japanese,Individual
Y0056,Y0056,102207,73,21797,news,Russia,Goverment
Y0057,Y0057,124288,54,2341,travel,English,Corperate
Y0058,Y0058,41360,35,52386,music,Russia,Goverment
Y0059,Y0059,102710,57,95440,gaming,English,Individual
Y0060,Y0060,76669,21,4721,gaming,Russia,NGO
Y0061,Y0061,99255,15,106632,gaming,English,Individual
Y0062,Y0062,27571,29,18632,gaming,Franch,Individual
Y0063,Y0063,134763,18,37800,music,Spanish,Goverment
Y0064,Y0064,117142,71,98012,gaming,Russia,Corperate
Y0065,Y0065,128526,35,150487,music,Chinese,Individual
